,appid,title,short_description,is_free,supported_languages,developers,publishers,platforms,categories,genres,release_date
10,420,Half-Life 2: Episode Two,"Half-Life&reg; 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life&reg; adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions.",False,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Russian<strong>*</strong>, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain<strong>*</strong>, Swedish, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 13, 'description': 'Captions available'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 15, 'description': 'Stats'}, {'id': 16, 'description': 'Includes Source SDK'}, {'id': 14, 'description': 'Commentary available'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","10 Oct, 2007"
11,340,Half-Life 2: Lost Coast,"Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.",False,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 14, 'description': 'Commentary available'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","27 Oct, 2005"
12,546560,Half-Life: Alyx,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.",False,"English<strong>*</strong>, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Italian, Czech, Hungarian, Polish, Portuguese - Portugal, Portuguese - Brazil, Ukrainian, Vietnamese, Bulgarian, Greek, Danish, Dutch, Norwegian, Romanian, Thai, Turkish, Finnish, Swedish<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 52, 'description': 'Tracked Controller Support'}, {'id': 54, 'description': 'VR Only'}, {'id': 13, 'description': 'Captions available'}, {'id': 31, 'description': 'VR Support'}, {'id': 30, 'description': 'Steam Workshop'}, {'id': 17, 'description': 'Includes level editor'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","23 Mar, 2020"
13,360,Half-Life Deathmatch: Source,"Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine.",False,English,['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 1, 'description': 'Multi-player'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}]","[{'id': '1', 'description': 'Action'}]","1 May, 2006"
14,50,Half-Life: Opposing Force,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",False,"English, French, German, Korean",['Gearbox Software'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","1 Nov, 1999"
15,280,Half-Life: Source,"Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.",False,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","1 Jun, 2004"
16,500,Left 4 Dead,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.",False,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Russian<strong>*</strong>, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 13, 'description': 'Captions available'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 15, 'description': 'Stats'}, {'id': 25, 'description': 'Steam Leaderboards'}, {'id': 16, 'description': 'Includes Source SDK'}, {'id': 14, 'description': 'Commentary available'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","17 Nov, 2008"
17,550,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",False,"Danish, Dutch, English<strong>*</strong>, Finnish, French<strong>*</strong>, German<strong>*</strong>, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian<strong>*</strong>, Simplified Chinese, Spanish - Spain<strong>*</strong>, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 13, 'description': 'Captions available'}, {'id': 30, 'description': 'Steam Workshop'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 15, 'description': 'Stats'}, {'id': 16, 'description': 'Includes Source SDK'}, {'id': 14, 'description': 'Commentary available'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","16 Nov, 2009"
18,400,Portal,"Portal&trade; is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",False,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Russian<strong>*</strong>, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain<strong>*</strong>, Swedish, Traditional Chinese<strong>*</strong>, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 13, 'description': 'Captions available'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 17, 'description': 'Includes level editor'}, {'id': 16, 'description': 'Includes Source SDK'}, {'id': 14, 'description': 'Commentary available'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","10 Oct, 2007"
19,630,Alien Swarm,Co-operative multiplayer game and complete code base available for free.,True,English,['Valve'],['Valve'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 13, 'description': 'Captions available'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 15, 'description': 'Stats'}, {'id': 17, 'description': 'Includes level editor'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '1', 'description': 'Action'}]","19 Jul, 2010"
20,440,Team Fortress 2,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",True,"English<strong>*</strong>, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],"{'windows': True, 'mac': True, 'linux': True}","[{'id': 1, 'description': 'Multi-player'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 13, 'description': 'Captions available'}, {'id': 30, 'description': 'Steam Workshop'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 15, 'description': 'Stats'}, {'id': 17, 'description': 'Includes level editor'}, {'id': 14, 'description': 'Commentary available'}, {'id': 41, 'description': 'Remote Play on Phone'}, {'id': 42, 'description': 'Remote Play on Tablet'}]","[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]","10 Oct, 2007"
21,1938090,Call of Duty®,"Welcome to Call of Duty® HQ, the home of Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Warzone™.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Russian<strong>*</strong>, Traditional Chinese, Japanese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Arabic, Simplified Chinese, Portuguese - Brazil<strong>*</strong><br><strong>*</strong>languages with full audio support","['Infinity Ward', 'Raven Software', 'Beenox', 'Treyarch', 'High Moon Studios', 'Sledgehammer Games', 'Activision Shanghai', 'Demonware', 'Toys for Bob']",['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 13, 'description': 'Captions available'}, {'id': 35, 'description': 'In-App Purchases'}]","[{'id': '1', 'description': 'Action'}]","27 Oct, 2022"
22,2630,Call of Duty® 2,"Call of Duty® 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic WWII conflicts. The sequel to 2003's Call of Duty, winner of over 80 Game of the Year awards, Call of Duty 2 offers more immense, more intense, more realistic battles than ever before, thanks to...",False,"English, French, German, Italian, Spanish - Spain",['Infinity Ward'],['Activision'],"{'windows': True, 'mac': True, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '1', 'description': 'Action'}]","13 Oct, 2006"
23,2620,Call of Duty® (2003),Call of Duty® delivers the gritty realism and cinematic intensity of World War II's epic battlefield moments like never before - through the eyes of citizen soldiers and unsung heroes from an alliance of countries who together helped shape the course of modern history.,False,"English, German",['Infinity Ward'],['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}]","[{'id': '1', 'description': 'Action'}]","13 Oct, 2006"
24,209650,Call of Duty®: Advanced Warfare - Gold Edition,"Call of Duty®: Advanced Warfare envisions a powerful future, where both technology and tactics have evolved to usher in a new era of combat for the franchise.Power Changes Everything.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Russian<strong>*</strong><br><strong>*</strong>languages with full audio support","['Sledgehammer Games', 'Raven Software']",['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 25, 'description': 'Steam Leaderboards'}, {'id': 43, 'description': 'Remote Play on TV'}]","[{'id': '1', 'description': 'Action'}]","3 Nov, 2014"
25,42700,Call of Duty®: Black Ops,The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.,False,"English, German, Italian, Spanish - Spain, French",['Treyarch'],['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}]","[{'id': '1', 'description': 'Action'}]","9 Nov, 2010"
26,1985810,Call of Duty®: Black Ops Cold War,"Black Ops Cold War, the direct sequel to Call of Duty®: Black Ops, will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s.",False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Treyarch', 'Raven Software', 'High Moon Studios', 'Beenox', 'Activision Shanghai', 'Sledgehammer Games']",['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 35, 'description': 'In-App Purchases'}]","[{'id': '1', 'description': 'Action'}]","8 Mar, 2023"
27,202970,Call of Duty®: Black Ops II,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future Cold War",False,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Italian<strong>*</strong>, Spanish - Spain<strong>*</strong><br><strong>*</strong>languages with full audio support",['Treyarch'],['Activision'],"{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 8, 'description': 'Valve Anti-Cheat enabled'}, {'id': 25, 'description': 'Steam Leaderboards'}, {'id': 43, 'description': 'Remote Play on TV'}]","[{'id': '1', 'description': 'Action'}]","12 Nov, 2012"
